"Order","ID","Filename","Event","Distance.m","Sensor.Height.m","Source.Height.m","a1.bkgCH4.ppm","bkgCH4.ppm","Pressure.mbar","X.u","X.v","X.w","X.t","X.u2","X.v2","X.w2","X.t2","X.uv","X.uw","X.ut","X.vw","X.vt","X.wt","GPS.Latitude","GPS.Latitude.StdDev","GPS.Longitude","GPS.Longitude.StdDev","Mean.CO2.ppm","Stdev.CO2.ppm","X5.N","High.Methane.ppm","Avg.High.5.Methane.ppm","Stddev.High.5.Methane.ppm","Low.Methane.ppm","Avg.Low.5.Methane.ppm","Stddev.Low.5.Methane.ppm","Mean.Methane.ppm","Mean.Methane.bkg.ppm","X3DS.2D.Wind.Speed.m.s","Temp.K","Mean.2DWind.deg","Mean.3DWind.deg","Std.WD.2D.deg","Std.WD.3D.deg","Turbulent.Intensity","WS.2D.PGI","WS.3D.PGI","StdDev.WD.2D.PGI","StdDev.WD.3D.PGI","Turbulent.Intensity.PGI","Weighted.Avg.PGI","Estimated.PGI","PG.y.m","PG.z.m","Centroid.Dir.deg","Angle.Bin.Size.deg","wind.Speed.Cut.m.s","Accept.Angle.Limit.deg","Bin.Density.Cut","a1.ppm","X.deg","CH4.a1.g.m3","X.y.m","rsq","BinQA","Count.QA","Temp.QA","X3Dtemp.stdev.QA","X3Dtemp.min.QA","X3Dtemp.max.QA","X","Estimated.z.m","Approx.Release.Rate.g.s","PSG.Emission.Estimate.g.s","Sig.y.Emission.Estimate.g.s","PSG.Error","X3d.xcord.m","X3d.ycord.m","Centroid.xcord.m","Centroid.ycord.m","A1.bLs.bkg","A1.bLs.g.s","Wind.Var.DQI","X.1","PSG.bLs.combined.Emission.Estimate.g.s"
1,"4042011_1",4042011,1,40.45,2.69,3,3.13,1.74,995.7,0.55,-3.18,0,24.03,2.12,12.28,0.26,577.59,-1.93,0.1,13.13,0.18,-76.25,0.06,35.97,5.7e-07,-79.093,8.3e-07,384,1,481,35.42,8.96,5.34,1.73,1.74,0.001,2.27,0.53,3.45,298.4,232.1,170.1,21.04,20.37,0.148,4,4,3,3,4,3.5,4,6.85,3.87,145,10,0,60,2,1.396,10.32,0.000899,7.3,0.97,15,1594,1.004,0.4,23.2,25.5,NA,3.7,0.6,0.52,0.52,-14,6.9,39.9,23.2,33.1,NA,0.72,0.1,NA,0.62
2,"4042011_3",4042011,3,59.83,2.69,3,2.72,1.76,995.9,-0.01,-2.42,-0.01,24.23,1.21,6.89,0.17,587.18,0.05,-0.03,-0.24,0.1,-58.46,-0.09,35.97,1.3e-06,-79.093,1.3e-06,386,2,598,21.28,5.77,2.3,1.76,1.76,0.001,2.15,0.39,2.65,298.8,215.9,180.2,23.38,25.24,0.154,3,3,3,2,4,3.5,4,9.77,5.55,185,10,0,60,2,0.962,12.28,0.000618,12.87,0.98,19,1672,1.005,0.4,23.5,26.5,NA,6.4,0.6,0.56,0.85,-7,-0.2,59.8,-5.2,59.6,NA,1,0.5,NA,0.78
3,"4042011_5",4042011,5,35.18,2.69,3,4.25,1.76,994.3,-0.83,-2.44,-0.06,25.14,1.25,7.21,0.25,632.13,2.13,0.07,-20.79,0.26,-61.28,-1.55,35.97,7.6e-07,-79.093,1.2e-06,383,1,317,25.37,10.77,3.55,1.75,1.76,0.001,2.71,0.95,2.68,299.7,221.9,198.7,18.98,16.87,0.185,3,3,4,4,2,3,3,7.47,4.02,215,10,0,60,2,2.494,11.66,0.0016,7.19,0.96,22,1609,1.005,0.2,24.7,25.9,NA,3.6,0.6,0.81,0.69,35,-11.3,33.3,-20.2,28.8,NA,0.38,0.7,NA,0.59
4,"4042011_6",4042011,6,97.44,2.69,3,1.96,1.75,994.1,0,-3.32,0,25.44,1.68,12.51,0.22,647.4,-0.1,0.07,0.11,0.11,-84.27,0.03,35.97,6.2e-07,-79.093,8e-07,383,1,623,5.74,2.79,0.46,1.75,1.75,0.001,1.88,0.12,3.55,300,217.4,179.9,17.81,21.08,0.133,4,4,4,3,4,4,4,15.18,8.65,165,10,0,60,2,0.203,17.6,0.00013,30.17,0.99,17,2171,1.005,0.3,24.7,26.6,NA,15.1,0.6,0.38,1.32,-37,0.1,97.4,25.2,94.1,NA,0.38,0.4,NA,0.38
5,"4042011_7",4042011,7,56.99,2.69,3,2.33,1.75,994.1,0.36,-3.1,0.01,25.5,1.51,11.1,0.25,650.12,-0.89,0,9.21,0.06,-79.01,0.33,35.97,1.2e-06,-79.093,8e-07,382,1,545,16.36,5.04,1.9,1.74,1.75,0.001,2.07,0.32,3.34,300.1,224.7,173.3,21.31,21.98,0.15,4,4,3,3,4,3.5,4,9.33,5.3,145,10,0,60,2,0.583,17.32,0.000372,17.36,0.99,15,2017,1.005,0.2,25,26.3,NA,8.7,0.6,0.39,1.18,-35,6.6,56.6,32.7,46.7,NA,0.42,0.7,NA,0.4
6,"5050611_1",5050611,1,87.76,2.69,3,2.12,1.84,997.1,-0.03,-3.06,-0.01,15.46,1.94,10.38,0.27,239.11,0.33,0.11,-0.47,0.15,-47.22,-0.02,35.97,5.1e-07,-79.093,8.7e-07,388,2,342,11.85,3.44,1.35,1.83,1.84,0.001,2,0.16,3.36,290.1,220.4,180.6,23.99,24.18,0.156,4,4,2,2,3,2.5,3,16.84,9.29,185,10,0,60,2,0.28,16,0.000186,24.66,0.98,19,1495,1.005,0.5,14.4,17.7,NA,12.3,0.6,0.61,1.19,2,-0.9,87.8,-7.6,87.4,NA,0.55,0.7,NA,0.58
7,"5050611_2",5050611,2,87.76,2.69,3,2.28,1.84,997,-0.01,-3.15,0,15.82,1.22,11.63,0.21,250.73,0.43,0.04,-0.08,0.16,-49.48,0.08,35.97,3.7e-07,-79.093,2.1e-07,387,2,341,7.29,4.01,0.79,1.83,1.84,0.001,2.14,0.3,3.33,290.5,225.6,180.2,19.81,19.24,0.138,4,4,3,4,4,3.5,4,13.87,7.89,175,10,0,60,2,0.438,16.38,0.00029,25.27,0.99,18,1787,1.005,0.6,14.6,18.3,NA,12.6,0.6,0.66,1.94,11,-0.4,87.8,7.6,87.4,NA,0.57,0.3,NA,0.61
8,"5050611_3",5050611,3,98.4,2.69,3,2.05,1.83,996.7,-0.16,-3,-0.03,16.2,1.27,11.05,0.17,262.61,0.58,0.07,-2.49,0.2,-48.27,-0.39,35.97,1e-06,-79.093,9.6e-07,385,2,317,4.42,2.94,0.45,1.83,1.83,0.001,1.97,0.14,3.21,290.9,210.4,183,22.16,22.03,0.127,4,4,3,3,5,4,4,15.33,8.73,195,10,0,60,2,0.22,17.95,0.000145,31.08,0.96,20,1256,1.005,0.6,15,18.3,NA,15.5,0.6,0.39,1.41,-35,-5.2,98.3,-25.5,95,NA,0.38,0.2,NA,0.39
9,"5050611_4",5050611,4,98.4,2.69,3,2.19,1.83,996.6,0,-3.78,0,16.06,2.06,16.5,0.31,258.26,0.24,0.13,-0.03,0.34,-60.26,0.07,35.97,4.6e-07,-79.093,4.8e-07,385,2,344,8.39,3.23,0.74,1.83,1.83,0.001,2,0.17,4.04,290.7,210.5,180,20.51,21.98,0.139,4,4,3,3,4,3.5,4,15.33,8.73,185,10,0,60,2,0.362,12.25,0.000239,21.13,0.99,19,1190,1.005,0.6,15.3,19,NA,10.6,0.6,0.81,1.36,35,0,98.4,-8.6,98,NA,0.61,2.5,NA,0.71
10,"5050611_5",5050611,5,102.96,2.69,3,2.14,1.82,996.4,0.12,-3.51,0,16.56,2.27,15.02,0.25,274.53,0.51,0.12,2.01,0.22,-57.67,0.04,35.97,2.8e-07,-79.093,3.2e-07,384,2,334,5.35,2.96,0.55,1.82,1.82,0.001,1.94,0.12,3.83,291.3,238.2,178,25.12,23.98,0.129,4,4,2,2,5,3.5,4,16.06,9.15,155,10,0,60,2,0.314,10.93,0.000207,19.7,0.96,16,1240,1.005,0.6,15.6,19.4,NA,9.9,0.6,0.73,0.97,22,3.6,102.9,43.5,93.3,NA,0.71,0,NA,0.72
